stratum,home team,away team,venue,date,time
Biddenham CC - Midweek XI,Biddenham CC-Midweek XI,Bedford Qalanders CC-1st XI,Biddenham Pavilion,Wednesday 24 June 2026,18:30
Biddenham CC - Midweek XI,Biddenham CC-Midweek XI,Colworth House CC-1st XI,Biddenham Pavilion,Wednesday 08 July 2026,18:30
Biddenham CC - Midweek XI,Biddenham CC-Midweek XI,Bedford Pakistanis CC-Midweek 2nd XI,Biddenham Pavilion,Wednesday 15 July 2026,18:30
Biddenham CC - Midweek XI,Kempston Methodists CC-Midweek XI,Biddenham CC-Midweek XI,Cryselco Park,Wednesday 22 July 2026,18:30
Biddenham CC - Under 11,Biddenham CC-Under 11,Elstow CC-Under 11,Add New Ground,Sunday 17 May 2026,10:00
Biddenham CC - Under 11,Biddenham CC-Under 11,Kempston Hammers CC-Under 11,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 31 May 2026,10:00
Biddenham CC - Under 11,Bedford CC-U11 County A,Biddenham CC-Under 11,"The Bury, Church Lane, Goldington, MK41 0UZ",Sunday 07 June 2026,10:00
Biddenham CC - Under 11,Biddenham CC-Under 11,Pavenham & Felmersham CC-Under 11 Herons,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 14 June 2026,10:00
Biddenham CC - Under 11,Ickwell CC-Under 11,Biddenham CC-Under 11,"Ickwell Green, Ickwell, SG18 9EE",Sunday 21 June 2026,10:00
Biddenham CC - Under 11,Biddenham CC-Under 11,Bedford CC-U11 County B,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 28 June 2026,10:00
Biddenham CC - Under 11,Elstow CC-Under 11,Biddenham CC-Under 11,"The Warren, Wilstead Road, Elstow, MK42 9YD",Sunday 05 July 2026,10:00
Biddenham CC - Under 11,Biddenham CC-Under 11,Bedford CC-U11 County A,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 12 July 2026,10:00
Biddenham CC - Under 11,Kempston Hammers CC-Under 11,Biddenham CC-Under 11,"Kempston Hammers Sports & Social Club, MK42 7BN",Sunday 19 July 2026,10:00
Biddenham CC - Under 11 B,Elstow CC-Under 11 B,Biddenham CC-Under 11 B,"The Warren, Wilstead Road, Elstow, MK42 9YD",Sunday 17 May 2026,10:00
Biddenham CC - Under 11 B,Biddenham CC-Under 11 B,Kempston Hammers CC-Under 11 B,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 24 May 2026,10:00
Biddenham CC - Under 11 B,Ickwell CC-Under 11 Dev B,Biddenham CC-Under 11 B,"Ickwell Green, Ickwell, SG18 9EE",Sunday 31 May 2026,10:00
Biddenham CC - Under 11 B,Biddenham CC-Under 11 B,"Queens Park Youth Cricket, Beds-Under 11","Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 07 June 2026,10:00
Biddenham CC - Under 11 B,North Crawley CC-Under 11 Rooks,Biddenham CC-Under 11 B,The Recreation Ground - North Crawley,Sunday 14 June 2026,10:00
Biddenham CC - Under 11 B,Biddenham CC-Under 11 B,Blunham CC-Under 11,Biddenham Pavilion,Sunday 21 June 2026,10:00
Biddenham CC - Under 11 B,Harrold CC-Under 11,Biddenham CC-Under 11 B,"Carlton Road, Harrold, MK43 7DT",Sunday 28 June 2026,10:00
Biddenham CC - Under 11 B,Biddenham CC-Under 11 B,Elstow CC-Under 11 B,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 05 July 2026,10:00
Biddenham CC - Under 11 B,"Queens Park Youth Cricket, Beds-Under 11",Biddenham CC-Under 11 B,"Biddenham International School, MK40 4AZ",Sunday 12 July 2026,10:00
Biddenham CC - Under 11 B,Biddenham CC-Under 11 B,Ickwell CC-Under 11 Dev B,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 19 July 2026,10:00
Biddenham CC - Under 11 B,Kempston Hammers CC-Under 11 B,Biddenham CC-Under 11 B,"Kempston Hammers Sports & Social Club, MK42 7BN",Sunday 26 July 2026,10:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Bedford CC-Under 13 Cup,Biddenham Pavilion,Monday 18 May 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Southill Park CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 19 May 2026,18:00
Biddenham CC - Under 13,Olney Town CC-Under 13,Biddenham CC-Under 13,"Olney Recreation Ground, East Street, MK46 4DH",Tuesday 26 May 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Elstow CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 02 June 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Bedford CC-U13 County A,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 09 June 2026,18:00
Biddenham CC - Under 13,Ickwell CC-Under 13,Biddenham CC-Under 13,"Ickwell Green, Ickwell, SG18 9EE",Tuesday 16 June 2026,18:00
Biddenham CC - Under 13,Southill Park CC-Under 13,Biddenham CC-Under 13,"Southill Park, Southill Estate, near Biggleswade, SG18 9LJ",Tuesday 23 June 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Olney Town CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 30 June 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Ickwell CC-Under 13,Ickwell Cricket Club,Monday 06 July 2026,18:00
Biddenham CC - Under 13,Elstow CC-Under 13,Biddenham CC-Under 13,"The Warren, Wilstead Road, Elstow, MK42 9YD",Tuesday 07 July 2026,18:00
Biddenham CC - Under 13,Bedford CC-U13 County A,Biddenham CC-Under 13,"The Bury, Church Lane, Goldington, MK41 0UZ",Tuesday 14 July 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Ickwell CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 21 July 2026,18:00
Biddenham CC - Under 13,Olney Town CC-Under 13,Biddenham CC-Under 13,"Olney Recreation Ground, East Street, MK46 4DH",Tuesday 28 July 2026,18:00
Biddenham CC - Under 13,Biddenham CC-Under 13,Elstow CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 04 August 2026,18:00
Biddenham CC - Under 13 B,Harrold CC-Under 13,Biddenham CC-Under 13 B,"Carlton Road, Harrold, MK43 7DT",Tuesday 19 May 2026,18:00
Biddenham CC - Under 13 B,Biddenham CC-Under 13 B,"Queens Park Youth Cricket, Beds-Under 13","Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 26 May 2026,18:00
Biddenham CC - Under 13 B,Olney Town CC-Under 13 Development,Biddenham CC-Under 13 B,"Olney Recreation Ground, East Street, MK46 4DH",Tuesday 02 June 2026,18:00
Biddenham CC - Under 13 B,Ampthill Town CC-Under 13 B,Biddenham CC-Under 13 B,The Park,Tuesday 09 June 2026,18:00
Biddenham CC - Under 13 B,Biddenham CC-Under 13 B,North Crawley CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 16 June 2026,18:00
Biddenham CC - Under 13 B,Biddenham CC-Under 13 B,Harrold CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 23 June 2026,18:00
Biddenham CC - Under 13 B,Kempston Hammers CC-Under 13,Biddenham CC-Under 13 B,"Kempston Hammers Sports & Social Club, MK42 7BN",Tuesday 30 June 2026,18:00
Biddenham CC - Under 13 B,Biddenham CC-Under 13 B,Olney Town CC-Under 13 Development,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 07 July 2026,18:00
Biddenham CC - Under 13 B,Biddenham CC-Under 13 B,Ampthill Town CC-Under 13 B,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 14 July 2026,18:00
Biddenham CC - Under 13 B,Biggleswade CC-Under 13 B,Biddenham CC-Under 13 B,Lindsell Memorial Pavilion,Tuesday 21 July 2026,18:00
Biddenham CC - Under 13 B,Biddenham CC-Under 13 B,Kempston Hammers CC-Under 13,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Tuesday 28 July 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Elstow CC-Under 15,Biddenham Pavilion,Monday 18 May 2026,18:00
Biddenham CC - Under 15,Elstow CC-Under 15,Biddenham CC-Under 15,"The Warren, Wilstead Road, Elstow, MK42 9YD",Thursday 28 May 2026,18:00
Biddenham CC - Under 15,Olney Town CC-Under 15,Biddenham CC-Under 15,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Wednesday 03 June 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Southill Park CC-Under 15,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Thursday 04 June 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Ampthill Town CC-Under 15,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Thursday 11 June 2026,18:00
Biddenham CC - Under 15,Bedford CC-U15 County A,Biddenham CC-Under 15,"The Bury, Church Lane, Goldington, MK41 0UZ",Thursday 18 June 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Olney Town CC-Under 15,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Thursday 25 June 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Elstow CC-Under 15,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Thursday 02 July 2026,18:00
Biddenham CC - Under 15,Southill Park CC-Under 15,Biddenham CC-Under 15,"Southill Park, Southill Estate, near Biggleswade, SG18 9LJ",Thursday 09 July 2026,18:00
Biddenham CC - Under 15,Ampthill Town CC-Under 15,Biddenham CC-Under 15,The Park,Thursday 16 July 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Bedford CC-U15 County A,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Thursday 23 July 2026,18:00
Biddenham CC - Under 15,Elstow CC-Under 15,Biddenham CC-Under 15,"The Warren, Wilstead Road, Elstow, MK42 9YD",Thursday 30 July 2026,18:00
Biddenham CC - Under 15,Biddenham CC-Under 15,Southill Park CC-Under 15,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Thursday 06 August 2026,18:00
Biddenham CC - Under 9,Ampthill Town CC-Under 9,Biddenham CC-Under 9,The Park,Sunday 17 May 2026,10:00
Biddenham CC - Under 9,Biddenham CC-Under 9,North Crawley CC-Under 9 Crows,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 24 May 2026,10:00
Biddenham CC - Under 9,Bedford CC-Under 9 Development,Biddenham CC-Under 9,"The Bury, Church Lane, Goldington, MK41 0UZ",Sunday 31 May 2026,10:00
Biddenham CC - Under 9,Biddenham CC-Under 9,Olney Town CC-Under 9,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 07 June 2026,10:00
Biddenham CC - Under 9,"Queens Park Youth Cricket, Beds-Under 9",Biddenham CC-Under 9,"Biddenham International School, MK40 4AZ",Sunday 14 June 2026,10:00
Biddenham CC - Under 9,Biddenham CC-Under 9,Kempston Hammers CC-Under 9,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 21 June 2026,10:00
Biddenham CC - Under 9,Thurleigh CC-Under 9,Biddenham CC-Under 9,"Thurleigh Playing Field, 24 Keysoe Road, MK44 2DZ",Sunday 28 June 2026,10:00
Biddenham CC - Under 9,Biddenham CC-Under 9,Ampthill Town CC-Under 9,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 05 July 2026,10:00
Biddenham CC - Under 9,Olney Town CC-Under 9,Biddenham CC-Under 9,"Olney Recreation Ground, East Street, MK46 4DH",Sunday 12 July 2026,10:00
Biddenham CC - Under 9,Biddenham CC-Under 9,Bedford CC-Under 9 Development,"Biddenham Pavilion, Deep Spinney, MK40 4QP",Sunday 19 July 2026,10:00
Biddenham CC - Under 9,North Crawley CC-Under 9 Crows,Biddenham CC-Under 9,"High Street, North Crawley, Bucks, MK16 9LH",Sunday 26 July 2026,10:00
